zip_code,reading_date,usage_kwh
75388,2023-01-01,13490.14
75671,2021-10-01,11585.21
75289,2024-10-01,13943.07
76165,2024-08-01,16569.09
75529,2023-07-01,11297.54
75379,2023-03-01,11297.59
76416,2022-07-01,16737.64
76338,2024-07-01,14302.3
75039,2023-01-01,10591.58
75979,2022-08-01,13627.68
75559,2024-07-01,10609.75
75940,2024-02-01,10602.81
76441,2024-10-01,12725.89
75066,2021-01-01,6260.16
75186,2024-10-01,6825.25
75628,2023-03-01,10313.14
75250,2024-02-01,8961.51
76302,2023-09-01,12942.74
75198,2024-12-01,9275.93
76231,2024-04-01,7763.09
76428,2023-03-01,16396.95
75830,2021-11-01,11322.67
75092,2022-03-01,12202.58
75898,2023-04-01,7725.76
75415,2024-06-01,10366.85
76135,2023-09-01,12332.77
76498,2022-03-01,8547.02
75088,2024-10-01,13127.09
75615,2022-11-01,10198.08
75077,2021-11-01,11124.92
75569,2022-10-01,10194.88
75874,2021-07-01,17556.83
75055,2022-06-01,11959.51
75189,2022-12-01,8826.87
75697,2023-11-01,14467.63
76414,2023-04-01,8337.47
75632,2021-03-01,12626.59
75912,2023-09-01,6120.99
76375,2024-10-01,8015.44
75004,2022-02-01,12590.58
75141,2021-02-01,14215.4
75245,2023-12-01,12514.1
75914,2024-09-01,11653.06
75594,2022-09-01,11096.69
75500,2021-01-01,7564.43
76044,2024-03-01,9840.47
75262,2021-06-01,10618.08
75174,2023-03-01,15171.37
75434,2024-11-01,13030.85
76419,2024-06-01,6710.88
76319,2021-08-01,12972.25
75676,2021-01-01,10844.75
76300,2021-01-01,9969.23
75930,2022-04-01,13835.03
75762,2024-03-01,15093.0
75309,2023-09-01,14793.84
75680,2022-11-01,9482.35
75971,2024-05-01,11072.36
75756,2022-02-01,12993.79
75181,2022-02-01,14926.64
75278,2021-12-01,10562.48
75889,2022-09-01,11443.02
75235,2024-10-01,8681.0
75423,2023-01-01,8411.38
76308,2024-12-01,14437.58
76271,2022-01-01,16068.72
76144,2023-12-01,11783.97
