zip_code,billing_month,billed_amount
75698,2023-04-01,18491.03
75827,2022-04-01,17679.46
75531,2022-08-01,22758.95
76224,2024-05-01,25664.16
75536,2023-06-01,21434.23
76226,2024-06-01,23057.72
75210,2024-09-01,16912.98
76023,2024-06-01,18627.02
76275,2022-11-01,25428.66
76276,2024-12-01,20633.56
75577,2024-04-01,16789.85
75110,2022-11-01,18162.75
76215,2021-08-01,23185.76
75500,2021-08-01,23631.14
76221,2024-11-01,13789.34
75879,2022-11-01,19812.96
76089,2024-03-01,17960.79
75789,2023-01-01,17672.32
75249,2021-09-01,24651.54
75957,2023-08-01,16812.31
76256,2024-07-01,15122.11
75123,2023-10-01,13925.04
76396,2022-07-01,17127.27
75063,2023-11-01,14323.77
75055,2024-12-01,13676.09
75333,2021-06-01,13550.15
76033,2022-10-01,13847.29
75586,2024-02-01,14195.84
76328,2024-07-01,19995.26
75161,2024-02-01,8200.09
75914,2024-07-01,14491.23
75555,2021-04-01,17499.35
75029,2022-03-01,23743.12
76183,2023-05-01,16770.36
75346,2023-05-01,17233.38
76466,2022-07-01,17560.27
75582,2021-02-01,8881.56
76004,2024-10-01,21295.47
76080,2021-10-01,21087.11
75155,2021-10-01,22072.48
75340,2022-07-01,30529.24
75520,2023-03-01,11507.39
75825,2021-11-01,10559.87
75111,2021-05-01,21529.34
75172,2024-04-01,16312.55
75547,2021-11-01,13071.86
75978,2022-07-01,16587.19
76156,2021-11-01,14908.28
75598,2021-03-01,26623.89
75642,2022-04-01,29309.06
75229,2024-09-01,9822.19
75736,2022-07-01,10617.26
76123,2023-08-01,14203.16
75187,2022-04-01,14552.36
75356,2024-01-01,14123.7
75234,2021-07-01,17028.83
76411,2023-02-01,15765.83
75296,2023-01-01,11231.94
75780,2022-01-01,12865.96
75636,2021-09-01,25731.69
76050,2023-09-01,16212.76
75492,2023-01-01,15956.85
75276,2021-04-01,10397.81
76150,2024-05-01,15683.92
75040,2023-07-01,22804.51
76378,2021-03-01,20977.76
75659,2024-04-01,22055.5
76180,2023-06-01,11982.01
75058,2023-05-01,11901.91
75099,2021-08-01,23667.18
76303,2023-01-01,22131.37
76012,2021-10-01,16707.69
75472,2021-02-01,22265.2
75003,2023-12-01,11985.02
76064,2024-04-01,11777.66
76140,2024-11-01,9912.69
76442,2023-01-01,19807.35
76017,2024-05-01,19083.59
76031,2023-06-01,15387.92
76168,2024-01-01,14098.04
75135,2021-06-01,30072.74
76340,2024-01-01,16704.35
75506,2021-06-01,24940.34
75135,2024-03-01,17268.26
75088,2024-01-01,15496.44
75839,2021-04-01,25083.3
76129,2024-02-01,21949.82
76220,2021-03-01,17879.45
75483,2023-08-01,23668.57
76252,2024-11-01,30601.53
75560,2023-03-01,14338.23
76184,2023-04-01,20358.68
75967,2021-12-01,15953.95
75032,2022-07-01,13327.29
75046,2023-04-01,13188.67
76039,2022-08-01,25961.67
75900,2021-07-01,8876.2
75340,2023-05-01,20539.3
75071,2022-07-01,13873.78
76322,2023-11-01,26862.47
75464,2024-04-01,16634.62
75738,2023-03-01,16179.96
76086,2024-04-01,25847.55
76087,2022-06-01,22384.0
75995,2021-06-01,20771.13
75261,2022-09-01,22029.06
75658,2024-06-01,12583.63
75789,2021-01-01,21708.57
75393,2024-11-01,17004.73
76130,2021-12-01,19804.62
76006,2021-07-01,20422.76
75227,2024-11-01,12447.45
76315,2022-04-01,20969.11
76029,2024-04-01,17068.21
75180,2023-03-01,11800.39
76139,2024-11-01,17267.17
76398,2023-09-01,18100.13
75034,2021-10-01,20968.16
75238,2021-08-01,6058.54
75372,2022-03-01,19940.68
75049,2021-12-01,15440.7
75083,2022-04-01,22049.37
75097,2023-10-01,17990.67
75470,2022-12-01,16333.09
76013,2023-03-01,17112.5
75604,2023-07-01,19667.05
76377,2024-11-01,22539.55
75630,2024-11-01,13544.44
75236,2022-07-01,16281.7
75690,2021-05-01,25346.73
76268,2024-05-01,16194.44
75560,2021-05-01,19836.25
75771,2023-06-01,11829.04
75021,2023-10-01,9427.46
76470,2024-04-01,12798.98
75898,2024-05-01,14550.54
76115,2024-03-01,23199.56
75996,2021-07-01,23747.63
75202,2024-03-01,8373.4
76228,2021-09-01,15293.77
76111,2024-06-01,21488.95
75015,2022-06-01,17473.23
75189,2022-02-01,25522.79
75864,2021-11-01,21367.5
75680,2024-07-01,16661.57
75511,2022-11-01,17106.65
76391,2024-06-01,17716.05
75528,2021-03-01,13770.21
76486,2023-03-01,22696.07
75405,2022-04-01,21712.14
75919,2023-10-01,20271.35
75985,2023-08-01,19212.87
75973,2024-12-01,12909.01
75219,2024-04-01,20520.97
75410,2022-03-01,18645.51
76097,2021-12-01,28011.35
75853,2022-07-01,11533.54
75592,2024-12-01,14383.52
76324,2023-04-01,10066.78
75551,2024-01-01,16909.9
75164,2023-07-01,9295.5
75724,2021-09-01,23927.51
75930,2021-06-01,23461.19
76203,2021-03-01,17201.84
75851,2022-04-01,12931.39
75183,2021-12-01,10379.49
75967,2022-04-01,14480.68
75292,2022-04-01,21126.86
76323,2022-05-01,14064.74
76235,2022-01-01,27542.88
75372,2023-03-01,25453.48
76468,2024-01-01,18004.12
76135,2022-07-01,15690.66
75769,2023-09-01,15154.02
75231,2023-09-01,25991.88
75297,2021-08-01,14716.52
75331,2021-06-01,22671.84
76081,2024-11-01,18108.96
75966,2021-08-01,21567.81
76228,2022-07-01,13898.01
76196,2024-06-01,16335.41
75783,2023-10-01,17879.09
75344,2021-03-01,14843.17
76444,2022-04-01,24246.12
75444,2021-06-01,14178.46
75020,2021-01-01,15114.84
75097,2023-11-01,24793.5
75496,2021-09-01,23824.64
75705,2021-07-01,25939.89
75911,2022-08-01,8458.63
75162,2024-12-01,19003.61
76020,2021-10-01,18451.41
75899,2024-12-01,15191.34
76416,2021-08-01,19622.3
76308,2024-08-01,16392.79
75820,2022-11-01,18809.96
75799,2021-11-01,35009.38
75187,2022-08-01,19585.65
75878,2023-03-01,19795.66
75518,2021-12-01,22106.1
76200,2021-08-01,18903.22
75322,2022-04-01,12509.84
75943,2022-11-01,9766.44
75963,2022-04-01,17853.54
75358,2022-12-01,16654.44
75594,2021-06-01,8181.99
75482,2021-06-01,26146.96
76289,2024-02-01,18535.02
76444,2023-11-01,25197.18
76490,2022-04-01,6840.69
76477,2024-11-01,25292.44
75720,2023-07-01,15573.97
76204,2022-10-01,24295.79
76094,2023-05-01,19074.34
76169,2024-04-01,20266.28
76239,2023-10-01,20272.59
75177,2021-10-01,15874.31
75015,2023-05-01,14767.43
75317,2022-07-01,16194.2
76498,2021-03-01,10640.45
76392,2024-03-01,15596.45
75936,2024-02-01,14516.04
75011,2024-02-01,10520.47
75796,2021-08-01,20293.33
75111,2022-09-01,18038.59
76090,2023-01-01,19230.21
76436,2023-04-01,21487.25
76115,2021-10-01,16810.7
76339,2023-08-01,13306.42
75514,2022-04-01,19519.71
75585,2021-03-01,3389.02
75789,2022-10-01,17459.52
76075,2023-01-01,21825.84
75222,2022-04-01,23234.63
75863,2022-07-01,15352.78
75911,2022-09-01,6793.06
75363,2021-12-01,4833.67
76063,2024-03-01,21190.26
75429,2022-06-01,16230.08
75248,2022-12-01,28086.5
75469,2023-10-01,10944.48
75838,2021-04-01,19711.68
76252,2024-06-01,26311.76
76366,2023-11-01,19032.31
76132,2024-03-01,10040.32
75546,2022-07-01,31863.06
75192,2022-03-01,25902.94
75271,2021-06-01,16863.77
75666,2024-07-01,22094.77
75751,2023-03-01,22148.31
75411,2021-09-01,21208.86
76038,2021-07-01,11091.28
76126,2023-12-01,19620.79
75485,2024-12-01,25303.58
76311,2022-08-01,20522.64
75894,2021-09-01,19985.76
76113,2024-05-01,15315.88
76389,2024-12-01,13480.11
76168,2023-06-01,10137.41
75731,2021-04-01,21787.32
76489,2024-01-01,16895.58
76497,2023-10-01,11293.1
75622,2021-03-01,22882.04
76151,2024-05-01,15065.44
75673,2024-04-01,13710.68
75966,2024-09-01,15518.76
76184,2022-09-01,17034.55
76384,2021-03-01,20290.11
75282,2024-02-01,13623.43
76455,2021-04-01,23051.87
75264,2023-05-01,20421.15
76005,2023-09-01,15426.69
75416,2022-05-01,17201.05
76388,2024-06-01,15886.85
75938,2024-12-01,18329.32
75568,2022-05-01,25599.37
76262,2024-06-01,15835.32
75926,2021-03-01,18947.33
75679,2022-04-01,14507.09
75403,2024-05-01,20659.78
76197,2024-08-01,19382.03
76286,2023-12-01,24648.09
75854,2024-07-01,13854.05
75319,2022-01-01,21452.88
75694,2023-05-01,24320.42
75634,2024-02-01,15811.91
76275,2021-09-01,17365.23
75975,2022-02-01,18953.69
75813,2022-04-01,16817.11
75635,2021-08-01,18886.6
75593,2023-01-01,21367.18
75807,2024-01-01,17430.12
75904,2024-07-01,17391.01
75918,2022-02-01,19333.31
75254,2024-07-01,16004.16
75563,2022-02-01,16251.43
76445,2022-04-01,13505.7
75784,2023-05-01,17789.29
75660,2022-05-01,20238.75
75022,2023-11-01,16654.31
75229,2022-11-01,14132.44
75533,2021-09-01,17518.92
75546,2022-02-01,19985.44
76165,2022-11-01,18639.85
76368,2021-08-01,29147.75
75845,2021-02-01,14717.92
75274,2023-02-01,17248.42
75632,2023-02-01,21896.49
75041,2022-04-01,14526.6
76110,2021-06-01,27641.09
76446,2023-07-01,18023.08
75793,2023-07-01,20805.72
75768,2023-05-01,18095.07
76045,2022-02-01,23093.19
75686,2024-09-01,12685.78
76038,2021-03-01,25859.24
76121,2023-04-01,19158.59
76396,2021-05-01,21292.29
75441,2024-04-01,14308.12
75805,2023-12-01,19686.22
75435,2024-04-01,13160.05
76238,2023-03-01,23878.22
76085,2021-08-01,11550.96
75258,2022-02-01,18770.87
75573,2023-10-01,16057.87
75089,2022-12-01,10186.86
76444,2021-06-01,13323.21
76149,2024-12-01,20247.97
75355,2021-07-01,13517.22
76023,2021-06-01,14654.15
75721,2024-10-01,19866.72
75820,2021-11-01,22574.21
75760,2022-08-01,21303.88
75857,2022-09-01,17767.11
75163,2021-11-01,19088.2
75870,2022-07-01,18593.73
75293,2021-04-01,12818.22
75110,2024-09-01,19397.2
75473,2022-08-01,12773.7
76007,2024-01-01,21071.38
75632,2021-11-01,18675.68
76437,2024-03-01,7179.0
75819,2021-09-01,22895.59
76145,2024-02-01,15389.84
76416,2024-09-01,14975.98
75264,2024-09-01,22779.52
75865,2021-12-01,17183.69
75897,2024-11-01,20987.06
75729,2022-11-01,14733.22
75495,2023-01-01,22018.35
76282,2023-12-01,18986.0
75704,2022-04-01,20024.58
76475,2021-12-01,17107.38
76462,2024-12-01,26148.85
75488,2024-11-01,27352.22
75589,2024-08-01,6981.41
75392,2021-02-01,22631.78
76222,2021-06-01,12601.3
75990,2024-12-01,20548.38
75086,2024-07-01,9111.62
76070,2024-01-01,20016.19
76324,2021-08-01,13818.81
76312,2022-01-01,15705.89
75941,2022-11-01,15839.53
76233,2021-03-01,14327.25
75694,2024-01-01,14462.96
75158,2021-05-01,16009.93
75513,2022-12-01,17230.34
76298,2023-04-01,19615.66
76331,2021-09-01,27303.55
75956,2021-12-01,13265.62
75455,2023-04-01,18633.54
75480,2023-08-01,21863.26
76395,2022-04-01,14455.54
76426,2022-11-01,6713.65
76064,2022-03-01,8453.61
76169,2021-12-01,6897.55
75703,2022-12-01,25700.58
75997,2021-09-01,21070.78
75112,2024-07-01,21779.88
76116,2022-10-01,22907.04
75882,2021-02-01,15122.65
75340,2021-05-01,29515.22
75033,2022-09-01,19677.33
75095,2024-07-01,17636.14
75491,2021-10-01,23550.01
75250,2022-09-01,21336.5
76108,2021-11-01,24675.23
76271,2022-02-01,24969.17
76412,2023-11-01,16233.77
75479,2022-05-01,18935.12
75327,2024-01-01,13454.02
76365,2022-05-01,9858.59
76491,2022-08-01,22183.99
76320,2023-05-01,22785.18
75015,2021-11-01,8088.8
76349,2022-12-01,14413.96
76419,2022-04-01,18280.42
75906,2022-07-01,18756.94
75033,2022-08-01,28225.0
75771,2022-03-01,14865.31
75529,2021-01-01,17143.47
75930,2021-05-01,21249.29
75951,2021-10-01,16248.98
75207,2024-10-01,15475.12
75534,2021-12-01,15064.7
75187,2024-02-01,19164.9
75703,2024-01-01,17121.55
76291,2021-02-01,21412.4
75268,2023-02-01,19787.29
75318,2023-03-01,3423.05
75728,2023-08-01,9242.37
75174,2022-08-01,15496.19
76012,2023-12-01,22900.01
76295,2024-05-01,14741.61
75025,2024-05-01,19872.96
75722,2022-10-01,20992.48
75135,2024-08-01,20701.33
75618,2023-04-01,15262.88
76195,2024-07-01,12259.56
76034,2024-08-01,11438.88
75500,2024-11-01,32854.68
75176,2023-11-01,20277.13
75188,2022-04-01,27202.91
75838,2021-01-01,13834.45
76118,2022-11-01,24241.59
75921,2024-03-01,15615.95
76037,2023-07-01,17855.26
75234,2021-08-01,16568.18
75824,2021-12-01,13602.82
75507,2023-07-01,13678.82
75347,2022-02-01,17804.46
76088,2024-02-01,15064.6
75771,2023-04-01,18633.6
75173,2023-01-01,13810.85
75768,2022-03-01,21537.3
75593,2021-07-01,15700.18
76245,2021-04-01,26184.67
75820,2022-10-01,17746.88
75823,2023-09-01,17489.09
75829,2022-03-01,26017.68
75431,2022-12-01,15523.6
75313,2024-04-01,15965.47
75910,2022-12-01,14495.13
75991,2023-01-01,19022.17
75427,2023-12-01,14324.1
75825,2023-08-01,21883.33
75761,2023-08-01,17767.11
76283,2023-09-01,22194.45
75385,2024-05-01,21630.92
76419,2022-06-01,15437.59
75037,2023-02-01,14315.13
75669,2022-12-01,16358.2
75926,2022-02-01,18044.34
75200,2024-09-01,19670.11
75126,2024-10-01,20225.66
76395,2022-10-01,17840.37
76026,2024-05-01,14594.1
75607,2023-07-01,15066.88
75811,2023-05-01,20591.77
75315,2023-12-01,14749.08
75004,2021-12-01,20801.17
75075,2024-06-01,20964.8
75698,2022-09-01,25669.58
75646,2023-12-01,15595.73
75482,2023-11-01,16374.23
75152,2024-08-01,6436.51
76089,2022-12-01,13284.64
76063,2024-02-01,13219.35
75431,2024-06-01,20528.36
75297,2024-10-01,27036.89
75099,2023-11-01,20903.79
75606,2024-07-01,22953.96
75744,2022-11-01,14443.35
75582,2022-03-01,12010.13
75997,2021-09-01,16789.89
75332,2022-11-01,14881.23
75272,2021-05-01,13694.55
75635,2024-08-01,19091.3
75964,2021-03-01,12070.4
76231,2022-04-01,22132.4
76461,2021-02-01,16002.79
75221,2024-02-01,17773.81
75677,2021-10-01,18498.93
76094,2023-06-01,15666.43
76130,2023-04-01,24327.74
76120,2023-01-01,9971.1
75317,2024-07-01,24416.67
76250,2022-03-01,16264.73
76183,2023-09-01,22603.74
76233,2021-02-01,19006.2
76452,2022-01-01,22252.48
76225,2023-03-01,17407.94
75740,2024-02-01,19192.18
75333,2021-09-01,23489.52
76284,2023-09-01,18479.24
75707,2024-01-01,24650.39
75588,2022-12-01,19760.98
75015,2022-08-01,14336.4
75753,2021-12-01,16225.94
75518,2024-03-01,22440.54
75012,2021-10-01,11801.1
75656,2024-10-01,21964.4
76278,2024-01-01,16171.16
75203,2024-03-01,11551.4
75771,2023-08-01,19036.28
76119,2021-03-01,14499.05
75643,2022-07-01,15141.88
76328,2021-01-01,14871.32
75191,2021-09-01,18574.47
75785,2022-03-01,16050.17
75089,2021-11-01,19954.74
75105,2024-12-01,23062.1
76486,2024-05-01,20708.44
75836,2023-10-01,27026.54
75404,2023-05-01,28256.74
76376,2021-08-01,16548.72
75961,2022-07-01,12236.9
75374,2022-07-01,16554.34
76221,2022-06-01,18591.77
76457,2023-11-01,29128.86
75662,2023-04-01,16125.99
75658,2023-12-01,19389.65
76366,2023-10-01,14594.19
75890,2024-11-01,16266.63
75838,2023-05-01,11928.07
75337,2023-01-01,10686.34
75767,2021-07-01,24804.65
75515,2021-05-01,23330.99
75999,2023-06-01,16151.99
75220,2024-07-01,23316.91
76321,2023-06-01,11465.47
75185,2021-07-01,17133.18
75444,2023-04-01,18871.31
76307,2024-05-01,24330.27
75382,2022-02-01,18987.7
76107,2022-08-01,20723.75
75594,2024-01-01,15650.2
75487,2024-11-01,19319.79
76353,2021-10-01,24321.8
75827,2024-05-01,9917.45
75646,2021-09-01,23680.37
76243,2022-04-01,16950.14
75348,2024-04-01,10970.23
75866,2021-07-01,16664.34
76405,2024-11-01,24450.41
75935,2024-08-01,15588.33
75219,2022-03-01,19496.7
75963,2022-05-01,9934.07
76110,2023-06-01,8871.67
75352,2024-09-01,12616.3
75809,2021-04-01,23064.04
75497,2021-10-01,17745.84
75816,2024-10-01,23498.48
76227,2021-12-01,23790.57
75285,2021-11-01,14209.24
75591,2023-04-01,25835.01
75999,2024-11-01,15278.1
75265,2024-01-01,23001.81
76277,2021-09-01,22797.46
76006,2024-06-01,18325.17
75745,2024-01-01,18333.31
75999,2022-02-01,19602.3
75971,2022-03-01,18577.19
75222,2024-04-01,16049.31
76456,2024-04-01,15620.49
76489,2023-03-01,16089.3
75510,2022-03-01,24091.08
75901,2024-12-01,10058.3
75197,2024-03-01,15515.79
75774,2021-09-01,16370.3
76325,2023-05-01,16859.51
75872,2023-01-01,19483.88
75214,2023-08-01,11258.75
75960,2024-07-01,23126.58
75036,2024-03-01,22434.77
75144,2023-11-01,21371.67
75369,2021-06-01,16962.21
75949,2021-06-01,14308.24
76324,2021-09-01,16373.99
76119,2021-02-01,18304.33
75966,2024-10-01,21330.93
75267,2022-01-01,17593.44
75664,2023-06-01,19802.26
75895,2021-07-01,15830.46
75412,2024-09-01,19431.63
75878,2022-10-01,16754.0
75874,2022-12-01,19339.76
75868,2024-12-01,9165.29
76255,2021-06-01,20435.52
75633,2021-04-01,20700.02
75936,2024-11-01,20644.81
75754,2021-11-01,13062.79
76387,2023-01-01,14449.35
76014,2022-09-01,13657.06
75474,2022-03-01,19649.9
75313,2022-03-01,21291.12
75363,2022-02-01,14517.19
76466,2022-12-01,24578.06
76339,2023-09-01,24511.93
75168,2023-08-01,18689.79
75801,2023-09-01,19854.43
76189,2024-08-01,9602.25
75532,2021-10-01,15354.8
75122,2024-01-01,11738.2
76123,2024-08-01,13450.07
76397,2022-02-01,20572.59
75513,2021-07-01,21780.29
75971,2022-10-01,21989.29
75585,2024-09-01,19208.46
75311,2023-04-01,20616.87
75732,2021-05-01,10054.33
75429,2023-04-01,11552.34
76085,2022-02-01,16953.91
76240,2021-02-01,20987.43
76445,2024-11-01,15763.68
75410,2022-10-01,11196.08
75945,2021-10-01,14541.19
76297,2024-09-01,13332.57
75363,2023-05-01,9377.56
75742,2021-09-01,29121.96
76017,2023-01-01,24164.36
75412,2021-02-01,8121.7
76460,2022-08-01,8389.74
76058,2023-04-01,13970.05
76253,2021-04-01,10553.33
75152,2021-08-01,29913.09
75206,2023-02-01,13988.4
76382,2022-03-01,19807.7
76073,2023-11-01,15471.02
76016,2021-06-01,12164.08
76421,2024-11-01,23236.74
75031,2023-06-01,21274.15
75193,2022-04-01,17702.16
76280,2024-06-01,29909.67
75203,2021-01-01,19175.28
75382,2022-08-01,15717.66
76135,2021-10-01,27576.37
75681,2023-08-01,20019.38
75542,2022-06-01,26139.6
76000,2022-06-01,17804.56
75848,2021-04-01,3000.0
75191,2024-11-01,10206.23
75247,2023-02-01,23413.55
75938,2024-12-01,15054.69
76445,2021-05-01,19266.63
76394,2023-09-01,23669.24
75611,2022-12-01,18897.42
75449,2021-05-01,13703.0
